Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,13.43,13.54,12.74,13.08,13.08,390200
2017-01-04,13.11,13.79,12.91,13.7,13.7,291000
2017-01-05,13.63,14.02,13.41,13.67,13.67,189900
2017-01-06,13.71,14.39,13.49,14.06,14.06,283500
2017-01-09,14.21,14.38,13.91,14.22,14.22,261800
2017-01-10,14.29,14.37,13.73,14.33,14.33,170800
2017-01-11,14.32,14.5,13.76,14.14,14.14,381900
2017-01-12,13.99,14.99,13.9,14.91,14.91,370400
2017-01-13,14.95,15.67,14.94,15.4,15.4,325300
2017-01-17,15.2,15.2,14.57,14.75,14.75,303900
2017-01-18,14.88,15.14,14.7,15.12,15.12,223200
2017-01-19,15.08,15.42,14.95,15.12,15.12,234500
2017-01-20,15.14,15.44,14.98,15.36,15.36,449200
2017-01-23,15.3,15.68,15.0,15.42,15.42,315700
2017-01-24,15.44,15.5,14.4,15.41,15.41,692600
2017-01-25,15.5,15.67,14.99,15.2,15.2,286700
2017-01-26,15.26,15.44,14.71,14.72,14.72,190400
2017-01-27,14.75,14.91,14.55,14.81,14.81,129300
2017-01-30,14.69,14.94,14.02,14.04,14.04,592000
2017-01-31,13.92,14.88,13.76,14.77,14.77,511600
2017-02-01,14.88,15.19,14.7,15.11,15.11,277700
2017-02-02,14.99,15.82,14.57,15.59,15.59,513100
2017-02-03,15.76,15.83,15.28,15.75,15.75,256600
2017-02-06,15.66,16.01,15.53,15.8,15.8,212700
2017-02-07,15.84,16.059998999999998,15.41,15.49,15.49,230200
2017-02-08,15.36,15.48,14.78,15.06,15.06,357500
2017-02-09,15.08,15.71,15.08,15.56,15.56,191500
2017-02-10,15.59,16.02,15.43,15.61,15.61,116800
2017-02-13,15.75,15.81,15.41,15.45,15.45,124300
2017-02-14,15.44,15.63,15.22,15.57,15.57,387000
2017-02-15,15.47,15.68,15.38,15.4,15.4,480300
2017-02-16,15.4,15.43,14.69,14.98,14.98,299300
2017-02-17,14.99,15.5,14.7,15.43,15.43,320200
2017-02-21,15.53,15.67,14.84,14.95,14.95,156700
2017-02-22,14.9,15.14,14.51,14.55,14.55,369300
2017-02-23,14.01,14.44,13.56,13.86,13.86,363200
2017-02-24,13.9,14.5,13.75,14.39,14.39,277900
2017-02-27,14.24,15.49,14.08,15.41,15.41,280300
2017-02-28,15.33,16.5,15.17,15.93,15.93,749200
2017-03-01,16.24,16.75,15.04,16.469998999999998,16.469998999999998,350500
2017-03-02,16.57,17.32,15.99,16.42,16.42,419800
2017-03-03,16.4,16.92,16.26,16.4,16.4,206200
2017-03-06,16.51,16.620001000000002,15.66,16.24,16.24,331300
2017-03-07,16.02,16.49,15.85,15.87,15.87,168700
2017-03-08,15.94,16.5,15.81,16.120001000000002,16.120001000000002,186600
2017-03-09,16.18,16.540001,16.120001000000002,16.200001,16.200001,283100
2017-03-10,16.35,16.68,15.92,16.33,16.33,257300
2017-03-13,16.280001000000002,16.33,16.030001000000002,16.190001000000002,16.190001000000002,196200
2017-03-14,15.98,16.059998999999998,15.59,15.74,15.74,173800
2017-03-15,15.79,16.360001,15.72,16.18,16.18,417400
2017-03-16,16.17,16.299999,15.82,15.91,15.91,339900
2017-03-17,15.74,16.23,15.58,16.07,16.07,687400
2017-03-20,16.07,16.4,15.9,16.290001,16.290001,141300
2017-03-21,16.370001000000002,16.459999,15.34,15.36,15.36,296400
2017-03-22,15.35,15.51,15.06,15.24,15.24,224900
2017-03-23,15.21,15.66,15.02,15.65,15.65,356600
2017-03-24,15.71,15.9,15.52,15.81,15.81,309100
2017-03-27,15.63,16.809998999999998,15.6,16.690001000000002,16.690001000000002,230400
2017-03-28,16.67,16.85,16.51,16.77,16.77,177900
2017-03-29,16.82,17.5,16.709999,17.360001,17.360001,299100
2017-03-30,17.360001,17.360001,16.92,17.17,17.17,341300
2017-03-31,17.16,17.51,17.02,17.51,17.51,266100
2017-04-03,17.41,17.950001,17.15,17.4,17.4,307800
2017-04-04,17.379998999999998,17.700001,17.059998999999998,17.27,17.27,258100
2017-04-05,17.32,17.629998999999998,16.68,16.799999,16.799999,262500
2017-04-06,16.879998999999998,16.99,16.51,16.83,16.83,364800
2017-04-07,16.75,17.129998999999998,16.620001000000002,16.83,16.83,189500
